"ymin"	"lower"	"middle"	"upper"	"ymax"	"notchupper"	"notchlower"	"ymin_final"	"ymax_final"	"HORnames"
0.06	0.12	0.14	0.16	0.22	0.14026434954439	0.13973565045561	0	0.25	"S1C3H3d"
0.07	0.12	0.14	0.16	0.22	0.142297043070824	0.137702956929176	0.02	0.22	"S1C10/12H1d"
0.08	0.12	0.14	0.15	0.19	0.141110158548224	0.138889841451776	0.04	0.25	"S1CMH1d"
0.05	0.09	0.1	0.12	0.16	0.102853144718133	0.0971468552818673	0.03	0.18	"S1C12H3d"
0	0.01	0.03	0.04	0.08	0.0300450651586238	0.0299549348413762	0	0.16	"S1C10H1L"
0	0.01	0.02	0.03	0.06	0.0200521094688872	0.0199478905311128	0	0.16	"S1C12H1L"
0	0.01	0.01	0.02	0.03	0.0100301370352336	0.00996986296476643	0	0.13	"S1C7H1L"
0	0	0.01	0.01	0.02	0.0100174488727047	0.0099825511272953	0	0.16	"S1C6H1L"
